Domain,Competency,Grade,LO Code, Outcome,Skill,Chimple Subject,Chimple Chapter,Chimple Lesson,Difficulty_Score,,,,,,,Source,Code,Score
Pre-Number Concepts,One-to-One Correspondence,Preschool 1,IL 1.4,Places 3–4 objects of two groups in one-to-one correspondence,Matches each item to one corresponding cut-out.,Digital Skills,Picture Board,"Bird
",0,,,,,,,Adds quantities in a word problem to find the total when groups are combined.,c66,0.5625
Pre-Number Concepts,One-to-One Correspondence,Preschool 1,IL 1.4,Places 3–4 objects of two groups in one-to-one correspondence,Matches each item to one corresponding cut-out.,Digital Skills,Picture Board,"
Lizard
",0,,,,,,,Analyzes decreasing numerical patterns by identifying missing values in backward skip counting sequences.,c110,0.375
Pre-Number Concepts,One-to-One Correspondence,Preschool 1,IL 1.4,Places 3–4 objects of two groups in one-to-one correspondence,Matches each item to one corresponding cut-out.,Digital Skills,Picture Board,"
Mouse
",0,,,,,,,Analyzes objects using multiple features and accurately interprets positional relationships.,c113,0.25
Pre-Number Concepts,One-to-One Correspondence,Preschool 1,IL 1.4,Places 3–4 objects of two groups in one-to-one correspondence,Matches each item to one corresponding cut-out.,Digital Skills,Picture Board,"
Turtle
",0,,,,,,,Analyzes objects using multiple properties and accurately describes the basis of classification.,c114,0.3125
Pre-Number Concepts,One-to-One Correspondence,Preschool 1,IL 1.4,Places 3–4 objects of two groups in one-to-one correspondence,Matches each item to one corresponding cut-out.,Digital Skills,Picture Board,"
Ball and Dog",0,,,,,,,Analyzes relative weight by interpreting the positional state of balance scales.,c144,0.25
Pre-Number Concepts,One-to-One Correspondence,Preschool 1,IL 1.4,Places 3–4 objects of two groups in one-to-one correspondence,Matches individual objects to demonstrate basic one-to-one correspondence using identical pairs.,Digital Skills,Match box,Match Coloured Objects,0.0625,,,,,,,"Applies diverse strategies, to solve subtraction problems up to 20.",c63,0.6875
Pre-Number Concepts,One-to-One Correspondence,Preschool 1,IL 1.4,Places 3–4 objects of two groups in one-to-one correspondence,Counts matched objects to confirm equal quantity (up to 4).,Digital Skills,Match box,Count and Pair,0.125,,,,,,,Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,c56,0.75
Pre-Number Concepts,One-to-One Correspondence,Preschool 2,IL 2.4,Places 4–5 objects of two groups in one-to-one correspondence,Counts matched objects to confirm equal quantity (up to 5).,Digital Skills,Match box,How Many?,0.1875,,,,,,,Applies mental strategies to solve subtraction sentences within the 11–20 range.,c64,0.75
Pre-Number Concepts,One-to-One Correspondence,Preschool 3,IL 3.4,Places 5-6 objects of two groups in one-to-one correspondence,Matches and aligns objects based on specific shape and color.,Digital Skills,Match box,Match Coloured Objects 2,0.0625,,,,,,,Applies mental strategies to sum two-digit numbers (up to 99) without regrouping.,c127,0.8125
Pre-Number Concepts,One-to-One Correspondence,Preschool 3,IL 3.4,Places 5-6 objects of two groups in one-to-one correspondence,Matches and aligns objects based on specific shape and color.,Digital Skills,Picture Board,Goat,0.0625,,,,,,,Applies mental subtraction strategies for numbers up to 45 to reinforce numerical fluency.,c130,0.8125
Pre-Number Concepts,One-to-One Correspondence,Preschool 3,IL 3.4,Places 5-6 objects of two groups in one-to-one correspondence,Matches and aligns objects based on specific shape and color.,Digital Skills,Picture Board,Pig,0.0625,,,,,,,Applies multiplication facts to solve simple word problems involving equal groups in daily-life situations.,c71,0.6875
Pre-Number Concepts,One-to-One Correspondence,Preschool 3,IL 3.4,Places 5-6 objects of two groups in one-to-one correspondence,Matches and aligns objects based on specific shape and color.,Digital Skills,Picture Board,"
Zebra",0.0625,,,,,,,Applies subtraction facts up to 10 to compare quantities and determine the difference in simple daily-life contexts.,c62,0.625
Pre-Number Concepts,One-to-One Correspondence,Preschool 3,IL 3.4,Places 5-6 objects of two groups in one-to-one correspondence,Matches and aligns objects based on specific shape and color.,Digital Skills,Picture Board,Eagle,0.0625,,,,,,,Applies vertical addition strategies to find sums within the 1–50 range.,c128,0.6875
Pre-Number Concepts,One-to-One Correspondence,Preschool 3,IL 3.4,Places 5-6 objects of two groups in one-to-one correspondence,Matches and aligns objects based on specific shape and color.,Digital Skills,Picture Board,Hyena,0.0625,,,,,,,apply different subtraction strategies for two-digit numbers (up to 99).,c65,0.8125
Pre-Number Concepts,One-to-One Correspondence,Preschool 3,IL 3.4,Places 5-6 objects of two groups in one-to-one correspondence,Matches and aligns objects based on specific shape and color.,Digital Skills,Picture Board,Cow,0.0625,,,,,,,Apply zero logic across full range of 3-digit numbers (Range: 100–999).,c123,0.375
Pre-Number Concepts,One-to-One Correspondence,Preschool 3,IL 3.4,Places 5-6 objects of two groups in one-to-one correspondence,Matches and aligns objects based on specific shape and color.,Digital Skills,Picture Board,Squirrel,0.0625,,,,,,,Arrange numbers 1–99 sequentially,c120,0.625
Pre-Number Concepts,Classification,Preschool 1,IL 1.5,"Compares two objects based on one observable property, for example–length, weight, or size. Describes objects using size words like (big/small, tall/Short)",Identifies and names objects as big or small through direct visual comparison.,English,Measurement,Big or Small,0,,,,,,,"Arranges 3–4 objects in order based on shape, size, or simple patterns.",c13,0.125
Pre-Number Concepts,Classification,Preschool 2,IL 2.5,"Compares and classifies objects by two factors like shape and color, size and shape, etc.",Classify pictorial items by comparing two visual factors.,Digital Skills,Picture Board,Meerkats,0.0625,,,,,,,Arranges 4–5 objects in a sequence and identifies the underlying pattern or rule.,c14,0.1875
Pre-Number Concepts,Classification,Preschool 2,IL 2.5,"Compares and classifies objects by two factors like shape and color, size and shape, etc.",Classify pictorial items by comparing two visual factors.,Digital Skills,Picture Board,Cat and Butterfly,0.0625,,,,,,,Arranges a set of numbers in correct sequential order within the 1 to 20 range using ascending or descending logic.,c118,0.5625
Pre-Number Concepts,Classification,Preschool 2,IL 2.5,"Compares and classifies objects by two factors like shape and color, size and shape, etc.",Classify pictorial items by comparing two visual factors.,Digital Skills,Picture Board,Insects,0.0625,,,,,,,Arranges more than 5 objects in a sequence using defined criteria and maintains consistent ordering.,c115,0.25
Pre-Number Concepts,Classification,Preschool 2,IL 2.5,"Compares and classifies objects by two factors like shape and color, size and shape, etc.",Classify pictorial items by comparing two visual factors.,Digital Skills,Picture Board,Rabbit and Flower,0.0625,,,,,,,Arranges numbers from smallest to largest or largest to smallest within 1 to 99,c37,0
Pre-Number Concepts,Classification,Preschool 2,IL 2.5,"Compares and classifies objects by two factors like shape and color, size and shape, etc.",Classify pictorial items by comparing two visual factors.,Digital Skills,Match box,Animals and Babies,0.0625,,,,,,,Arranges numbers from smallest to largest or largest to smallest within 1 to 99.,c27,0.5625
Pre-Number Concepts,Classification,Preschool 2,IL 2.5,"Compares and classifies objects by two factors like shape and color, size and shape, etc.",Classify pictorial items by comparing two visual factors.,Digital Skills,Match box,Match Blue Shadows,0.0625,,,,,,,Associate greetings with clock times.,c87,0.125
Pre-Number Concepts,Classification,Preschool 2,IL 2.5,"Compares and classifies objects by two factors like shape and color, size and shape, etc.",Classify pictorial items by comparing two visual factors.,Digital Skills,Match box,Count and Match,0.0625,,,,,,,Calculates equivalent values for denominations and matches currency images to target totals up to ₹20.,c91,0.5
Pre-Number Concepts,Classification,Preschool 2,IL 2.5,"Compares and classifies objects by two factors like shape and color, size and shape, etc.",Classify pictorial items by comparing two visual factors.,Digital Skills,Match box,Parts and whole 2,0.0625,,,,,,,Categorizes and extends even and odd number patterns (+2) within sequences.,c111,0.375
Pre-Number Concepts,Classification,Preschool 3,IL 3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects","Classifies objects using three observable features such as shape, color, and size.",Digital Skills,Match box,"

Shapes",0.125,,,,,,,"Categorizes the specific internal volume level of liquid within a container using labels like quarter-full, half-full, and three-fourth full.",c145,0.4375
Pre-Number Concepts,Classification,Preschool 3,IL 3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects","Classifies objects using three observable features such as shape, color, and size.",Digital Skills,Match box,Shapes and Objects,0.125,,,,,,,"Classifies objects using multiple observable features (shape, color, size).",c10,0.1875
Pre-Number Concepts,Classification,Preschool 3,IL 3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects","Classifies objects using three observable features such as shape, color, and size.",Digital Skills,Match box,3D Shapes,0.125,,,,,,,"Classifies objects using multiple properties (shape, size, color) and describes similarities and differences.",c11,0.25
Pre-Number Concepts,Classification,Preschool 3,IL 3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects","Classifies objects using three observable features such as shape, color, and size.",Digital Skills,Match box,Stringed objects,0.125,,,,,,,"Classifies objects using three observable features such as shape, color, and size.",c9,0.125
Pre-Number Concepts,Classification,Preschool 3,IL 3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects","Classifies objects using three observable features such as shape, color, and size.",Digital Skills,Match box,Tiny Shapes,0.125,,,,,,,Classify pictorial items by comparing two visual factors.,c8,0.0625
Pre-Number Concepts,Classification,Preschool 3,IL 3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects","Identifies and uses the specific position words ""inside,"" ""under,"" and ""beside"" to identify object locations.",English,Grammar ,"Prepositions
",0.125,,,,,,,Combines two groups of objects and recounts to find the total (up to 9).,c48,0.3125
Pre-Number Concepts,Classification,Preschool 3,IL 3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects","Identifies and uses the specific position words ""inside,"" ""under,"" and ""beside"" to identify object locations.",English,Grammar ,Prepositions 2,0.125,,,,,,,Compares numerical magnitudes for 2-digit numerals up to 99.,c45,0.5
Pre-Number Concepts,Classification,Preschool 3,IL 3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects",Describes the relative position of multiple objects within a scene by applying combined positional vocabulary.,English,Grammar ,"
Prepositions 3",0.1875,,,,,,,Compares numerical magnitudes for 3-digit numerals up to 999.,c124,0.5625
Pre-Number Concepts,Classification,Class 1,IL 4.5,Compares and classifies objects/ pictures based on multiple factors and demonstrates understanding of position ,"Classifies objects using multiple observable features (shape, color, size).",Digital Skills,Picture Board,"Penguin
",0.1875,,,,,,,Compares objects as taller or shorter using pictures to identify relative height.,c93,0.125
Pre-Number Concepts,Classification,Class 1,IL 4.5,Compares and classifies objects/ pictures based on multiple factors and demonstrates understanding of position ,"Classifies objects using multiple observable features (shape, color, size).",Digital Skills,Picture Board,More Birds,0.1875,,,,,,,Compares quantities in simple situations and adds to find the total up to 18.,c125,0.5625
Pre-Number Concepts,Classification,Class 1,IL 4.5,Compares and classifies objects/ pictures based on multiple factors and demonstrates understanding of position ,"Classifies objects using multiple observable features (shape, color, size).",Digital Skills,Matching Card,"
Basic",0.1875,,,,,,,"Compares two numbers or sets up to 10 using appropriate comparison vocabulary (more than, less than, bigger, smaller).",c43,0.375
Pre-Number Concepts,Classification,Class 1,IL 4.5,Compares and classifies objects/ pictures based on multiple factors and demonstrates understanding of position ,"Classifies objects using multiple observable features (shape, color, size).",Digital Skills,Matching Card,Simple,0.1875,,,,,,,Compares two numbers up to 5 using appropriate comparison vocabulary.,c42,0.3125
Pre-Number Concepts,Classification,Class 1,IL 4.5,Compares and classifies objects/ pictures based on multiple factors and demonstrates understanding of position ,"Classifies objects using multiple observable features (shape, color, size).",Digital Skills,Matching Card,Easy,0.1875,,,,,,,Compares two-digit numbers up to 20 using the terms greater than and less than.,c44,0.4375
Pre-Number Concepts,Classification,Class 1,IL 4.5,Compares and classifies objects/ pictures based on multiple factors and demonstrates understanding of position ,Analyzes objects using multiple features and accurately interprets positional relationships.,Digital Skills,Matching Card,"
Intermediate",0.25,,,,,,,completes numerical sequences up to 999 by identifying missing values in backward skip-counting by 10s and skip-counting by 100s.,c112,0.4375
Pre-Number Concepts,Classification,Class 1,IL 4.5,Compares and classifies objects/ pictures based on multiple factors and demonstrates understanding of position ,Analyzes objects using multiple features and accurately interprets positional relationships.,Digital Skills,Matching Card, Difficult,0.25,,,,,,,Composes numbers up to 99 using groups of tens and ones.,c116,0.4375
Pre-Number Concepts,Classification,Class 2 ,ILM 5.5,Compares and classifies objects/ pictures based on multiple factors and describes them using properties ,"Classifies objects using multiple properties (shape, size, color) and describes similarities and differences.",Digital Skills,Match box,"
Match Figures",0.25,,,,,,,Constructs addition facts up to 18 by grouping objects together.,c50,0.4375
Pre-Number Concepts,Classification,Class 2 ,ILM 5.5,Compares and classifies objects/ pictures based on multiple factors and describes them using properties ,Analyzes objects using multiple properties and accurately describes the basis of classification.,Digital Skills,Picture Board,Elephants,0.3125,,,,,,,Constructs addition facts up to 20 by combining objects and analyzing number sentences.,c51,0.5
Pre-Number Concepts,Classification,Class 2 ,ILM 5.5,Compares and classifies objects/ pictures based on multiple factors and describes them using properties ,Analyzes objects using multiple properties and accurately describes the basis of classification.,Digital Skills,Picture Board,Monkeys and Crocodile,0.3125,,,,,,,Constructs and recalls multiplication facts for tables of 2 and 3 using patterns and grouping.,c70,0.625
Pre-Number Concepts,Classification,Class 2 ,ILM 5.5,Compares and classifies objects/ pictures based on multiple factors and describes them using properties ,Analyzes objects using multiple properties and accurately describes the basis of classification.,Digital Skills,Matching Card,"
Hard",0.3125,,,,,,,Constructs and recalls multiplication facts for the table of 3 to solve numerical situations.,c133,0.625
Pre-Number Concepts,Seriation,Preschool 1,IL 1.6,"Seriates/arranges 2–3 objects/picture cards in a sequence for example- shape, size, occurrence of events",Sequences three cards based on a single attribute to demonstrate early seriation logic.,Digital Skills,Shape Tractor,"Shape Sequence 
",0.0625,,,,,,,Constructs monetary sets up to ₹100 by combining notes and coins.,c142,0.5625
Pre-Number Concepts,Seriation,Preschool 2,IL 2.6,"Seriates/arranges 3–4 objects/picture cards in a sequence for example- shape, size, occurrence of events","Arranges 3–4 objects in order based on shape, size, or simple patterns.",Digital Skills,Shape Tractor,Shape Series,0.125,,,,,,,Continues a given simple pattern by selecting the next correct item.,c107,0.1875
Pre-Number Concepts,Seriation,Preschool 3,IL 3.6,"Seriates/arranges 4–5 picture cards/ objects in a sequence for example- shape, size, occurrence of events",Arranges 4–5 objects in a sequence and identifies the underlying pattern or rule.,Digital Skills,Shape Tractor,"
Shape Pattern",0.1875,,,,,,,"Contrasts the weight of pictorial object pairs to distinguish between ""heavy"" and ""light"" properties.",c97,0.125
Pre-Number Concepts,Seriation,Class 1,ILM 4.6,Seriates/ arranges more than 5 objects based on criteria ,Arranges more than 5 objects in a sequence using defined criteria and maintains consistent ordering.,Digital Skills,Shape Tractor,Shape order,0.25,,,,,,,Correlates numerals to quantities up to 10 by selecting digits for object sets.,c17,0.3125
Pre-Number Concepts,Seriation,Class 2 ,ILM 5.6,"Applies seriation in ordering numbers, measurement, etc. ascending -descending.",Arrange numbers 1–99 sequentially,Math,Number Sense 1-100,Arrange Numbers 1-100,0.625,,,,,,,Counts backward accurately from a given number within 1 to 20.,c24,0.4375
Pre-Number Concepts,Seriation,Class 2 ,ILM 5.6,"Applies seriation in ordering numbers, measurement, etc. ascending -descending.",Arrange numbers 1–99 sequentially,Math,Number Sense 1-100,Number Order,0.625,,,,,,,Counts backward from a given number within 1 to 9.,c21,0.375
Number Sense,Counting & Cardinality,Preschool 1,IL 1.9,Counts to three objects,Counts three objects one by one to establish early cardinality.,English,Counting,"Count Upto 5
",0.1875,,,,,,,Counts backward from a given number within 1 to 99.,c119,0.5
Number Sense,Counting & Cardinality,Preschool 2,IL 2.9,Counts and perceives objects up to five,Identifies quantities up to 5 by counting discrete objects.,English,Counting,Count Objects Basic,0.25,,,,,,,Counts backward from a given number within 1 to 99.,c26,0
Number Sense,Counting & Cardinality,Preschool 2,IL 2.9,Counts and perceives objects up to five,Identifies quantities up to 5 by counting discrete objects.,Math,Number Sense 1-5,Match Numbers 1,0.25,,,,,,,Counts forward and backward from a given number up to 10.,c20,0.375
Number Sense,Counting & Cardinality,Preschool 3,IL 3.9,Counts to 10 objects,Correlates numerals to quantities up to 10 by selecting digits for object sets.,Math,Number Sense 1-10,Match Numbers 1,0.3125,,,,,,,Counts forward and backward up to 5 from a given number.,c19,0.3125
Number Sense,Counting & Cardinality,Preschool 3,IL 3.9,Counts to 10 objects,Correlates numerals to quantities up to 10 by selecting digits for object sets.,Math,Number Sense 1-10,Match Numbers 2,0.3125,,,,,,,Counts forward from a given number within 1 to 20.,c22,0.4375
Number Sense,Counting & Cardinality,Preschool 3,IL 3.9,Counts to 10 objects,Correlates numerals to quantities up to 10 by selecting digits for object sets.,Math,Number Sense 1-10,Match Numbers 3,0.3125,,,,,,,Counts forward from a given number within 21 to 100.,c25,0.5
Number Sense,Counting & Cardinality,Preschool 3,IL 3.9,Counts to 10 objects,Correlates numerals to quantities up to 10 by selecting digits for object sets.,Math,Number Sense 1-10,Match Numbers 4,0.3125,,,,,,,Counts matched objects to confirm equal quantity (up to 4).,c3,0.125
Number Sense,Counting & Cardinality,Preschool 3,IL 3.9,Counts to 10 objects,Correlates numerals to quantities up to 10 by selecting digits for object sets.,Math,Number Sense 1-10,Match Numbers 5,0.3125,,,,,,,Counts matched objects to confirm equal quantity (up to 5).,c46,0.1875
