sourceSkillId	targetSkillId
Identifies lowercase letters a-f using visual and audio cues	Identifies uppercase letters A-F using visual and audio cues.
Identifies lowercase letters a-f using visual and audio cues	Traces and writes uppercase letters A to F, saying their names aloud, and follows the conventional pattern of letter formation.
Identifies lowercase letters a-f using visual and audio cues	Traces and writes the lowercase letters a - f follows the conventional flow of writing, and listens to words that begin with the same initial sound (e. g., ant, axe, apple).
Identifies lowercase letters a-f using visual and audio cues	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for A-F.
Identifies lowercase letters a-f using visual and audio cues	Learns the phonetic sounds of letters A-Z by recognizing them through visual and auditory cues.
Identifies lowercase letters g-l using visual and audio cues.	Identifies uppercase letters G-L using visual and audio cues.
Identifies lowercase letters g-l using visual and audio cues.	Traces and writes uppercase letters G to L, saying their names aloud, and follows the conventional pattern of letter formation.
Identifies lowercase letters g-l using visual and audio cues.	Traces and writes the lowercase letters g - l follows the conventional flow of writing, and listens to words that begin with the same initial sound.
Identifies lowercase letters g-l using visual and audio cues.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for G-L.
Identifies lowercase letters g-l using visual and audio cues.	Learns the phonetic sounds of letters A-Z by recognizing them through visual and auditory cues.
Identifies lowercase letters m-s using visual and audio cues.	Identifies uppercase letters M-S using visual and audio cues.
Identifies lowercase letters m-s using visual and audio cues.	Traces and writes uppercase letters M to S, saying their names aloud, and follows the conventional pattern of letter formation.
Identifies lowercase letters m-s using visual and audio cues.	Traces and writes the lowercase letters m - s follows the conventional flow of writing, and listens to words that begin with the same initial sound.
Identifies lowercase letters m-s using visual and audio cues.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for M-S.
Identifies lowercase letters m-s using visual and audio cues.	Learns the phonetic sounds of letters A-Z by recognizing them through visual and auditory cues.
Identifies lowercase letters t-z using visual and audio cues.	Identifies uppercase letters T-Z using visual and audio cues.
Identifies lowercase letters t-z using visual and audio cues.	Traces and writes uppercase letters T to Z, saying their names aloud, and follows the conventional pattern of letter formation.
Identifies lowercase letters t-z using visual and audio cues.	Traces and writes the lowercase letters t - z follows the conventional flow of writing, and listens to words that begin with the same initial sound.
Identifies lowercase letters t-z using visual and audio cues.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for T-Z.
Identifies lowercase letters t-z using visual and audio cues.	Learns the phonetic sounds of letters A-Z by recognizing them through visual and auditory cues.
Identifies uppercase letters A-F using visual and audio cues.	Draws basic lines and shapes with control.
Identifies uppercase letters A-F using visual and audio cues.	Traces and writes uppercase letters A to F, saying their names aloud, and follows the conventional pattern of letter formation.
Identifies uppercase letters A-F using visual and audio cues.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for A-F.
Identifies uppercase letters A-F using visual and audio cues.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.
Identifies uppercase letters G-L using visual and audio cues.	Draws basic lines and shapes with control.
Identifies uppercase letters G-L using visual and audio cues.	Traces and writes uppercase letters G to L, saying their names aloud, and follows the conventional pattern of letter formation.
Identifies uppercase letters G-L using visual and audio cues.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for G-L.
Identifies uppercase letters G-L using visual and audio cues.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.
Identifies uppercase letters M-S using visual and audio cues.	Draws basic lines and shapes with control.
Identifies uppercase letters M-S using visual and audio cues.	Traces and writes uppercase letters M to S, saying their names aloud, and follows the conventional pattern of letter formation.
Identifies uppercase letters M-S using visual and audio cues.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for M-S.
Identifies uppercase letters M-S using visual and audio cues.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.
Identifies uppercase letters T-Z using visual and audio cues.	Draws basic lines and shapes with control.
Identifies uppercase letters T-Z using visual and audio cues.	Traces and writes uppercase letters T to Z, saying their names aloud, and follows the conventional pattern of letter formation.
Identifies uppercase letters T-Z using visual and audio cues.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for T-Z.
Identifies uppercase letters T-Z using visual and audio cues.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.
Draws basic lines and shapes with control.	Traces and writes uppercase letters A to F, saying their names aloud, and follows the conventional pattern of letter formation.
Draws basic lines and shapes with control.	Traces and writes uppercase letters G to L, saying their names aloud, and follows the conventional pattern of letter formation.
Draws basic lines and shapes with control.	Traces and writes uppercase letters M to S, saying their names aloud, and follows the conventional pattern of letter formation.
Draws basic lines and shapes with control.	Traces and writes uppercase letters T to Z, saying their names aloud, and follows the conventional pattern of letter formation.
Draws basic lines and shapes with control.	Traces and writes the lowercase letters a - f follows the conventional flow of writing, and listens to words that begin with the same initial sound (e. g., ant, axe, apple).
Draws basic lines and shapes with control.	Traces and writes the lowercase letters g - l follows the conventional flow of writing, and listens to words that begin with the same initial sound.
Draws basic lines and shapes with control.	Traces and writes the lowercase letters m - s follows the conventional flow of writing, and listens to words that begin with the same initial sound.
Draws basic lines and shapes with control.	Traces and writes the lowercase letters t - z follows the conventional flow of writing, and listens to words that begin with the same initial sound.
Draws basic lines and shapes with control.	Traces and writes words by following correct letter formation and writing sequence, while decoding individual letters to understand and reinforce correct spelling.
Traces and writes uppercase letters A to F, saying their names aloud, and follows the conventional pattern of letter formation.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for A-F.
Traces and writes uppercase letters A to F, saying their names aloud, and follows the conventional pattern of letter formation.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.
Traces and writes uppercase letters G to L, saying their names aloud, and follows the conventional pattern of letter formation.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for G-L.
Traces and writes uppercase letters G to L, saying their names aloud, and follows the conventional pattern of letter formation.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.
Traces and writes uppercase letters M to S, saying their names aloud, and follows the conventional pattern of letter formation.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for M-S.
Traces and writes uppercase letters M to S, saying their names aloud, and follows the conventional pattern of letter formation.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.
Traces and writes uppercase letters T to Z, saying their names aloud, and follows the conventional pattern of letter formation.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for T-Z.
Traces and writes uppercase letters T to Z, saying their names aloud, and follows the conventional pattern of letter formation.	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.
Traces and writes the lowercase letters a - f follows the conventional flow of writing, and listens to words that begin with the same initial sound (e. g., ant, axe, apple).	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for A-F.
Traces and writes the lowercase letters a - f follows the conventional flow of writing, and listens to words that begin with the same initial sound (e. g., ant, axe, apple).	Matches uppercase and lowercase letters by correctly pairing each letter with its corresponding form for Aa-Zz.
Traces and writes the lowercase letters a - f follows the conventional flow of writing, and listens to words that begin with the same initial sound (e. g., ant, axe, apple).	Learns the phonetic sounds of letters A-Z by recognizing them through visual and auditory cues.
Traces and writes the lowercase letters a - f follows the conventional flow of writing, and listens to words that begin with the same initial sound (e. g., ant, axe, apple).	Identifies and writes the five vowels and distinguishes between their short and long phonetic sounds.
